Title,Country,Quantity Required,Payment Terms,Destination,Looking for Suppliers From,Product Description,Contact Name,Verified Status,Date
"Wanted : Wheat Straw, Rice Straw",Egypt,100 Tons,N/A,N/A,N/A,"The buyer would like to receive quotations for -

Product Name: Wheat Straw, Rice Straw

Quantity Required : 100 Ton/Tons

Shipping Terms : CIF

Destination Port : Egypt

Payment Terms : LC

Looking for suppliers from : Worldwide

Contact : Yasser",Yasser,VERIFIED,May-12-25
Wanted : Wheat,Egypt,Not specified,N/A,N/A,N/A,"Please quote for the following wholesale product requirement -

Product : Wheat

Specifications:
Quantity : MOQ

Quantity Required : MOQ

Shipping Terms : CIF

Destination Port : Egypt

Payment Terms : LC

Looking for suppliers from : Worldwide

Contact : Younes Gomaa",Younes Gomaa,VERIFIED,Mar-19-25
Wanted : Wheat Flour,"Damascus, Egypt","1,000 - 3,000 Tons",N/A,N/A,N/A,"The buyer would like to receive quotations for -

Product: Wheat Flour

Specifications:
Protein Min 12 %
gluten min 27 %
Qty: 1000-3000 tons monthly

Quantity Required : 1000 - 3000 Ton/Tons

Shipping Terms : CIF

Destination Port : Egypt

Payment Terms : To be discussed with suppliers

Looking for suppliers from : Worldwide

Contact : Amro",Amro,VERIFIED,Apr-15-25
Wanted : Wheat,Kenya,10 Twenty-Foot Container,N/A,N/A,N/A,"The buyer would like to receive quotations for -

Product Name: Wheat

Specifications :
Use: Human Consumption

Quantity Required : 10 Twenty-Foot Container

Shipping Terms : CIF

Destination Port : Kenya

Payment Terms : L/C

Looking for suppliers from : Worldwide

Contact : Samuel Antony Ngotho",Samuel Antony Ngotho,VERIFIED,Dec-30-24
Wanted : Wheat,Egypt,1 Twenty-Foot Container,N/A,N/A,N/A,"The buyer is interested to receive quotations for the following RFQ -

Product Name: Wheat

Specifications:
Cultivation: Any
Style: Dried
Use: Food
Packaging Terms : Standard

Quantity Required : 1 Twenty-Foot Container

Shipping Terms : CIF

Destination Port : Egypt

Payment Terms : To be discussed with suppliers

Looking for suppliers from : Worldwide

Contact : Mahmoud Ramadan",Mahmoud Ramadan,N/A,Jun-07-21
Wanted : Wheat,Egypt,100 Metric Tons,N/A,N/A,N/A,"Buyer is interested to receive quotations for the following RFQ -

Product Name: Wheat

Specifications :
Style: Dried
Cultivation: Any

Quantity Required : 100 Metric Ton/Metric Tons

Shipping Terms : CIF

Destination Port : Egypt

Payment Terms : L/C

Looking for suppliers from : Worldwide

Contact : Mahmoud Ramadan",Mahmoud Ramadan,N/A,Jan-27-21
Wanted : Wheat,Egypt,"65,000 Tons",N/A,N/A,N/A,"Buyer is interested to receive quotations for the following RFQ -

Product Name: Wheat
Packaging Terms : Bulk

Quantity Required : 65000 Ton/Tons

Shipping Terms : CIF

Destination Port : Alexandria, Egypt

Payment Terms : L/C 180 Day Of B/L Date

Looking for suppliers from : Worldwide

Contact : Elsahngreens",Elsahngreens,N/A,Apr-19-21
Wanted : Wheat,Egypt,500 Metric Tons,N/A,N/A,N/A,"Please provide a quotation to the following requirement from importer -

Product Name: Wheat

Specifications :
Style: Dried
Cultivation: Any

Quantity Required : 500 Metric Ton/Metric Tons

Shipping Terms : CIF

Destination Port : Alexandria, Egypt

Payment Terms : L/C

Looking for suppliers from : Worldwide

Contact : Mahmoud Ramadan",Mahmoud Ramadan,N/A,Apr-28-21
Wanted : Wheat,Egypt,"12,000 Metric Tons",N/A,N/A,N/A,"Please provide a quotation to the following requirement from importer -

Product Name: Wheat

Quantity Required : 12000 Metric Ton/Metric Tons Monthly

Shipping Terms : CIF

Destination Port : Bangladesh

Payment Terms : 100% DLC

Looking for suppliers from : Worldwide

Contact : Dalia",Dalia,N/A,Jun-13-22
Wanted : Wheat,Kenya,"7,000 Metric Tons",N/A,N/A,N/A,"Buyer is interested to receive quotations for the following RFQ -

Product Name : Wheat

Specifications:
Type : Soft wheat / Durum wheat
Quantity Required : 7000 mt

Quantity Required : 7000 Metric Ton/Metric Tons

Shipping Terms : CIF

Destination Port : Kenya

Payment Terms : Bank Transfer

Looking for suppliers from : Worldwide

Contact : Bryan Adeya",Bryan Adeya,VERIFIED,Oct-01-24
